Wavelength,ext
5250.2084,0.15571428571428572
5250.6453,0.15571428571428572
5379.5734,0.1463265306122449
5381.0216,0.1463265306122449
5382.2562,0.1463265306122449
5383.368,0.1463265306122449
5432.546,0.1463265306122449
5432.947,0.1463265306122449
5434.5232,0.1463265306122449
5435.8577,0.1463265306122449
5436.2945,0.1463265306122449
5436.5875,0.1463265306122449
5576.0881,0.15571428571428572
5578.718,0.15571428571428572
6149.246,0.15571428571428572
6151.617,0.15571428571428572
6169.042,0.15571428571428572
6169.563,0.15571428571428572
6170.5056,0.1463265306122449
6173.3344,0.1463265306122449
6301.5008,0.1463265306122449
6302.4932,0.1463265306122449
