Wavelength,Ext1,Ext2,Ext3,ext1_norm,ext2_norm
5250.2084,0.06984924623115571,0.09246231155778885,0.4748979591836735,0.0,0.0
5250.6453,0.06984924623115571,0.09246231155778885,0.4748979591836735,0.0,0.0
5379.5734,0.06783919597989943,0.09045226130653257,0.4748979591836735,0.0,0.0
5381.0216,0.06783919597989943,0.09045226130653257,0.4748979591836735,0.0,0.0
5382.2562,0.06783919597989943,0.09045226130653257,0.4748979591836735,0.0,0.0
5383.368,0.06783919597989943,0.09045226130653257,0.4748979591836735,0.0,0.0
5432.546,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5432.947,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5434.5232,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5435.8577,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5436.2945,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5436.5875,0.06733668341708536,0.09145728643216071,0.4748979591836735,0.0,0.0
5576.0881,0.06633165829145722,0.0899497487437185,0.4655102040816327,0.0,0.0
5578.718,0.06633165829145722,0.09045226130653257,0.4655102040816327,0.0,0.0
6149.246,0.057286432160803966,0.08291457286432152,0.43734693877551023,0.0,0.0
6151.617,0.057286432160803966,0.08291457286432152,0.43734693877551023,0.0,0.0
6169.042,0.056281407035175826,0.08090452261306524,0.43734693877551023,0.0,0.0
6169.563,0.056281407035175826,0.08090452261306524,0.43734693877551023,0.0,0.0
6170.5056,0.056281407035175826,0.08090452261306524,0.43734693877551023,0.0,0.0
6173.3344,0.056281407035175826,0.08090452261306524,0.43734693877551023,0.0,0.0
6301.5008,0.05477386934673362,0.07939698492462303,0.4185714285714286,0.0,0.0
6302.4932,0.05477386934673362,0.07939698492462303,0.4185714285714286,0.0,0.0
