lambda_nm,a0,a1,a2,a3,a4,a5
303.327,0.08011,0.70695,0.4991,-0.3108,-0.02177,0.04642
310.843,0.0816,0.71609,0.69685,-0.87703,0.47008,-0.0876
320.468,0.08833,0.77285,0.65382,-1.04647,0.72921,-0.19775
329.897,0.09188,0.92459,0.19604,-0.39546,0.23599,-0.05303
349.947,0.11012,1.02168,-0.10924,-0.00055,-0.08688,0.06487
365.875,0.12828,1.04969,0.17482,-1.13371,1.23882,-0.4599
374.086,0.12579,0.85402,0.54601,-1.15048,0.88928,-0.26462
390.915,0.12995,0.91836,-0.07566,0.19149,-0.28712,0.12298
401.97,0.12323,1.08648,-0.43974,0.45912,-0.32759,0.0985
416.319,0.12814,1.19947,-0.84407,1.07201,-0.79537,0.23982
427.93,0.14249,1.28796,-1.19564,1.68603,-1.36658,0.44572
443.885,0.1622,1.24893,-0.92165,0.89978,-0.50148,0.1122
445.125,0.15248,1.38517,-1.49615,1.99886,-1.48155,0.44119
457.345,0.16604,1.38544,-1.52275,2.00232,-1.45969,0.42864
477.427,0.19571,1.30551,-1.25845,1.50626,-1.05472,0.3057
492.905,0.20924,1.30798,-1.20411,1.21505,-0.67196,0.14381
519.93,0.23695,1.29927,-1.28034,1.3776,-0.85054,0.21706
541.76,0.26073,1.27428,-1.30352,1.47085,-0.96618,0.26384
559.95,0.26892,1.34319,-1.58427,1.91271,-1.3135,0.37295
579.88,0.28392,1.36896,-1.75998,2.22154,-1.56074,0.4463
610.975,0.30854,1.3662,-1.83572,2.33221,-1.63082,0.45959
640.97,0.33644,1.3059,-1.79238,2.4504,-1.89979,0.59943
669.4,0.34685,1.37539,-2.04425,2.70493,-1.9429,0.55999
700.875,0.37885,1.25553,-1.70908,2.19647,-1.59554,0.47378
748.71,0.40627,1.22842,-1.67877,2.05535,-1.39972,0.38845
811.76,0.42977,1.25182,-1.85164,2.31949,-1.59101,0.44155
869.6,0.45396,1.25101,-2.02958,2.7541,-2.02287,0.59338
948.85,0.47855,1.19813,-1.86296,2.36939,-1.64367,0.46056
1046.6,0.4987,1.21429,-2.06976,2.80703,-2.05247,0.60221
1098.95,0.51149,1.19354,-2.00174,2.66936,-1.94981,0.57715
