0,0,name,species,mass,air_wavelength,g_eff,height,lower_level,upper_level,spectra_dir,avg_temp_80,avg_temp_50
0,0,FeI_5250.2,FeI,55.845,5250.2084,3.0,310.0,0.12126572,2.4821184,FeI_5250,4668.117774305033,4602.94165889237
1,1,FeI_5250.6,FeI,55.845,5250.6453,1.5,360.0,2.1978664,4.55852281,FeI_5250,4583.070499693271,4502.173287786446
2,2,FeI_5379,FeI,55.845,5379.5734,1.1,,3.69459719,5.99867825,CI_5380,4714.816124373151,4667.378541034683
3,3,CI_5380,CI,12.0107,5380.3308,1.0,40.0,7.68476777,9.98852478,CI_5380,0.0,0.0
4,4,TiII_5381,TiII,47.867,5381.0216,0.92,,1.56577729,3.86923825,CI_5380,4753.8234113714925,4709.89587793029
5,5,FeI_5382,FeI,55.845,5382.2562,1.08,,0.12126572,2.42419831,CI_5380,4970.29547387822,4974.5601646873265
6,6,FeI_5383,FeI,55.845,5383.368,1.12,,4.31247059,6.61492758,CI_5380,4561.218020274776,4420.611043319678
7,7,MnI_5432,MnI,54.938,5432.546,2.14,,0.0,2.281614,FeI_5434,4796.9307017716765,4731.826811208987
8,8,FeI_5432,FeI,55.845,5432.947,0.5,250.0,4.44562726,6.72707289,FeI_5434,4768.208823683155,4718.117269119647
9,9,FeI_5434,FeI,55.845,5434.5232,0.0,550.0,1.01105568,3.29183986,FeI_5434,4386.998668366501,4279.49332992145
10,10,NiI_5435,NiI,58.6934,5435.8577,0.51,,1.9858928,4.2661171,FeI_5434,4775.233048051572,4730.913591328097
11,11,FeI_5436.3,FeI,55.845,5436.2945,1.29,,4.38646275,6.66650376,FeI_5434,4970.90938314703,4847.735318092313
12,12,FeI_5436.6,FeI,55.845,5436.5875,1.82,,2.27860466,4.55852281,FeI_5434,4980.113412875101,4669.056867141591
13,13,FeI_5576,FeI,55.845,5576.0881,0.0,360.0,3.43018998,5.65307019,FeI_5576,4604.632836763599,4530.503218399563
14,14,NiI_5578,NiI,58.6934,5578.718,1.1,,1.6764334,3.8982659,FeI_5576,4747.165929483286,4708.105926014703
15,15,NaI_5896,NaI,22.989769,5895.92424,1.33,800.0,0.0,2.102297177,NaI_5896,0.0,0.0
16,16,FeII_6149,FeII,55.845,6149.246,1.33,130.0,3.8891925,5.90488507,FeII_6149,4788.156778330006,4760.658649421017
17,17,FeI_6151,FeI,55.845,6151.617,1.84,,2.17594512,4.19086081,FeII_6149,4727.883522631694,4687.962216091261
18,18,CaI_6169.0,CaI,40.078,6169.042,1.0,,2.5229867,4.5322113,FeI_6173,4861.274730615708,4861.260067857259
19,19,CaI_6169.5,CaI,40.078,6169.563,1.67,,2.5256821,4.5347368,FeI_6173,4876.121856342172,4570.172010758733
20,20,FeI_6170,FeI,55.845,6170.5056,1.31,,4.79546566,6.80421351,FeI_6173,4745.431583678026,4661.401446183014
21,21,FeI_6173,FeI,55.845,6173.3344,2.5,270.0,2.22271209,4.2305396,FeI_6173,4651.337122576921,4606.479742796193
22,22,FeI_6301,FeI,55.845,6301.5008,1.67,340.0,3.65369332,5.62068415,FeI_6302,4884.489130885374,4885.49166292122
23,23,FeI_6302,FeI,55.845,6302.4932,2.5,260.0,3.68638944,5.65307019,FeI_6302,4610.218801218632,4555.083707481022
