line,b1,b2,b3,b4,bis_med_pearson,c1,c2,c3,c4,c5,c6,curve_med_pearson
FeI_5250.2,0.17,0.35,0.79,0.93,-0.6671560370132374,0.18,0.42,0.73,0.82,0.83,0.92,-0.597849501828567
FeI_5250.6,0.15,0.66,0.7,0.93,-0.6729546556541033,0.3,0.42,0.61,0.66,0.69,0.74,-0.5843750288482714
FeI_5379,0.43,0.6,0.73,0.79,-0.7673822861267654,0.44,0.71,0.72,0.81,0.82,0.9,-0.7138671556580307
TiII_5381,0.19,0.6,0.75,0.95,-0.7851684278665869,0.24,0.3,0.3,0.41,0.57,0.93,0.7646902101047823
FeI_5382,0.25,0.5,0.66,0.91,-0.7301138626513228,0.19,0.35,0.79,0.88,0.89,0.95,-0.6814503285716622
FeI_5383,0.26,0.52,0.71,0.86,-0.7597339502134186,0.26,0.67,0.77,0.84,0.87,0.94,-0.7380917773436513
MnI_5432,0.7,0.78,0.86,0.93,0.36270441281595966,0.35,0.49,0.5,0.72,0.85,0.91,-0.3871196386513446
FeI_5432,0.21,0.67,0.84,0.92,-0.6656056475584677,0.26,0.65,0.68,0.77,0.78,0.84,-0.6266826363423504
FeI_5434,0.2,0.41,0.45,0.93,-0.7726190848057806,0.17,0.43,0.61,0.68,0.69,0.74,-0.7249788509128334
NiI_5435,0.22,0.79,0.82,0.94,-0.6514478718471192,0.33,0.73,0.78,0.84,0.84,0.9,-0.6467201339825188
FeI_5436.3,0.23,0.41,0.58,0.91,-0.6457697854063142,0.27,0.34,0.72,0.81,0.83,0.91,-0.6256200050266254
FeI_5436.6,0.32,0.5,0.72,0.81,-0.6424713477429496,0.38,0.43,0.66,0.8,0.81,0.87,-0.5954582587423423
FeI_5576,0.2,0.61,0.75,0.88,-0.6865027611268534,0.3,0.45,0.75,0.86,0.87,0.93,-0.6505843021435175
NiI_5578,0.33,0.57,0.62,0.77,-0.6239473884330629,0.4,0.78,0.8,0.86,0.87,0.92,-0.5948542973541593
FeII_6149,0.18,0.57,0.77,0.94,-0.5370907548762419,0.39,0.46,0.73,0.78,0.82,0.88,-0.5031156420343652
FeI_6151,0.36,0.49,0.64,0.9,-0.6227545602958187,0.25,0.46,0.68,0.8,0.81,0.88,-0.5949131084662845
CaI_6169.0,0.22,0.63,0.74,0.95,-0.6614337605977877,0.38,0.56,0.76,0.82,0.83,0.91,-0.5879561403969475
CaI_6169.5,0.22,0.42,0.74,0.87,-0.6795109910397772,0.22,0.56,0.81,0.87,0.87,0.94,-0.6236696316748223
FeI_6170,0.17,0.77,0.82,0.89,-0.5958556889374748,0.21,0.51,0.68,0.76,0.77,0.82,-0.5299803185471856
FeI_6173,0.2,0.51,0.61,0.83,-0.6947124032410388,0.31,0.5,0.77,0.82,0.84,0.9,-0.6479543221435581
FeI_6301,0.21,0.64,0.74,0.91,-0.7047092640653392,0.33,0.42,0.8,0.87,0.87,0.94,-0.675113417410814
FeI_6302,0.18,0.57,0.79,0.92,-0.6979638719344072,0.22,0.62,0.7,0.78,0.79,0.89,-0.6508508513726079
